                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63254,                0.82205,                 2.2284,                0.90628,                0.85324,                0.93385,                0.86176,                0.39267,                0.49529,                 2.3266,               0.006535,               0.006535,               0.006535
                     37,                0.63428,                0.82498,                 2.2454,                0.89948,                0.85865,                0.92875,                0.85753,                0.39442,                0.50435,                  2.311,               0.006436,               0.006436,               0.006436
                     38,                0.63674,                0.81769,                 2.2473,                0.91523,                0.85118,                0.92879,                0.85606,                0.39147,                 0.5049,                 2.3146,               0.006337,               0.006337,               0.006337
                     39,                 0.6282,                0.80445,                 2.2274,                0.91141,                0.84619,                0.92423,                 0.8539,                0.38698,                0.51234,                 2.3163,               0.006238,               0.006238,               0.006238
                     40,                0.63067,                0.80976,                 2.2456,                0.91045,                0.85053,                0.92986,                0.85629,                0.39229,                0.49954,                 2.3178,               0.006139,               0.006139,               0.006139
                     41,                0.62056,                0.79061,                 2.2331,                0.90098,                 0.8662,                0.93349,                0.86194,                0.39004,                0.48467,                 2.3101,                0.00604,                0.00604,                0.00604
                     42,                  0.628,                0.79836,                  2.237,                0.90029,                0.87333,                 0.9359,                0.86511,                0.38939,                0.48674,                 2.3089,               0.005941,               0.005941,               0.005941
                     43,                0.61929,                0.78081,                 2.2236,                0.88134,                0.88529,                0.93587,                0.86753,                0.38162,                0.48458,                  2.306,               0.005842,               0.005842,               0.005842
                     44,                0.61558,                 0.7793,                  2.235,                0.89291,                0.87468,                0.93376,                0.86317,                0.38064,                0.49445,                 2.3029,               0.005743,               0.005743,               0.005743
                     45,                0.61662,                 0.7762,                 2.2255,                0.88988,                0.88254,                0.93537,                0.86636,                0.37561,                0.48405,                 2.2989,               0.005644,               0.005644,               0.005644
                     46,                0.61505,                0.77309,                 2.2184,                0.90403,                0.87107,                0.93482,                 0.8681,                0.37926,                0.48554,                 2.3014,               0.005545,               0.005545,               0.005545
                     47,                 0.6098,                0.76231,                  2.215,                0.89379,                0.87657,                 0.9351,                0.86816,                 0.3759,                0.48271,                 2.2971,               0.005446,               0.005446,               0.005446
                     48,                0.60151,                0.75166,                 2.2057,                0.90563,                0.86567,                0.93564,                0.87138,                0.37212,                0.47423,                  2.294,               0.005347,               0.005347,               0.005347
                     49,                0.60448,                0.75164,                 2.2179,                0.89649,                0.88536,                0.93941,                0.87508,                0.36727,                0.46345,                 2.2857,               0.005248,               0.005248,               0.005248
                     50,                0.59704,                0.73492,                 2.2133,                0.90857,                0.87513,                0.93846,                0.87406,                 0.3717,                0.46848,                 2.2878,               0.005149,               0.005149,               0.005149
                     51,                 0.5906,                0.72508,                 2.1923,                0.91557,                0.86957,                0.93943,                0.87446,                0.37052,                0.46653,                 2.2919,                0.00505,                0.00505,                0.00505
                     52,                0.58786,                0.71634,                 2.1961,                0.91329,                0.87045,                0.93858,                0.87476,                0.37199,                0.46463,                 2.2934,               0.004951,               0.004951,               0.004951
                     53,                0.59184,                0.72041,                  2.205,                 0.9153,                 0.8659,                0.93737,                0.87474,                0.37177,                 0.4669,                 2.2887,               0.004852,               0.004852,               0.004852
                     54,                0.58542,                0.71295,                 2.1984,                0.91015,                0.86733,                0.93678,                0.87381,                0.37191,                0.46694,                 2.2857,               0.004753,               0.004753,               0.004753
                     55,                0.58416,                0.70242,                 2.1879,                0.90936,                0.87329,                0.93799,                0.87362,                0.37009,                0.46647,                 2.2825,               0.004654,               0.004654,               0.004654
                     56,                0.57885,                0.69419,                 2.1816,                0.90775,                0.87755,                 0.9401,                0.87757,                0.36748,                 0.4604,                 2.2808,               0.004555,               0.004555,               0.004555
                     57,                0.57735,                0.69155,                 2.1849,                0.89395,                0.88789,                0.93924,                0.87506,                0.36798,                0.45927,                 2.2821,               0.004456,               0.004456,               0.004456
                     58,                 0.5792,                0.69289,                 2.1796,                0.90638,                0.88264,                0.93898,                0.87614,                0.36696,                0.45513,                 2.2826,               0.004357,               0.004357,               0.004357
                     59,                0.57659,                0.68573,                 2.1848,                0.91231,                0.88091,                0.93868,                 0.8754,                0.36773,                0.45442,                 2.2823,               0.004258,               0.004258,               0.004258
                     60,                0.57189,                0.68075,                 2.1846,                0.90833,                0.88168,                0.93865,                0.87564,                0.36658,                0.45539,                 2.2807,               0.004159,               0.004159,               0.004159
                     61,                0.56727,                0.66762,                 2.1854,                0.90839,                0.87666,                0.93916,                0.87531,                0.36622,                0.45848,                 2.2795,                0.00406,                0.00406,                0.00406
                     62,                0.56823,                0.66905,                 2.1771,                0.91534,                0.87021,                0.93927,                0.87648,                 0.3639,                0.45799,                 2.2775,               0.003961,               0.003961,               0.003961
                     63,                0.56238,                0.66073,                 2.1688,                0.91211,                0.87778,                0.93977,                0.87658,                0.36321,                0.45683,                 2.2756,               0.003862,               0.003862,               0.003862
                     64,                0.55827,                0.65082,                  2.175,                0.91419,                0.87548,                0.93915,                0.87648,                0.36324,                0.45524,                 2.2762,               0.003763,               0.003763,               0.003763
                     65,                 0.5535,                0.64594,                 2.1641,                0.90941,                0.87951,                 0.9392,                0.87805,                0.36257,                0.45326,                 2.2759,               0.003664,               0.003664,               0.003664
                     66,                0.55317,                0.64001,                 2.1636,                 0.9085,                0.88047,                0.93981,                0.87893,                0.36113,                0.45287,                 2.2738,               0.003565,               0.003565,               0.003565
                     67,                 0.5552,                0.64436,                 2.1772,                0.91153,                0.87682,                0.94013,                0.87867,                0.36018,                0.45177,                 2.2728,               0.003466,               0.003466,               0.003466
                     68,                0.55009,                0.63644,                 2.1658,                0.90993,                0.87825,                0.94002,                0.87939,                0.35971,                0.45115,                 2.2709,               0.003367,               0.003367,               0.003367
